repository,analysis_duration_seconds,total_commits,test_files_added,test_helpers,prod_files_added,matched_pairs,multi_test_prods,test_first_count,same_commit_count,prod_first_count,test_first_%,same_commit_%,prod_first_%,unmatched_test_files,unmatched_prod_files,match_rate_%
maven-mvnd,32.3,1379,28,1,278,21,1,1,12,8,4.8,57.1,38.1,6,258,77.8
geode,505.9,11318,3377,100,8465,1691,182,44,627,1020,2.6,37.1,60.3,1586,7085,51.6
sqoop,29.3,969,280,0,666,89,6,9,49,31,10.1,55.1,34.8,191,583,31.8
phoenix,140.1,4188,364,5,2520,236,6,6,160,70,2.5,67.8,29.7,123,2293,65.7
tinkerpop,536.3,21652,1102,35,2233,655,67,29,187,439,4.4,28.5,67.0,412,1718,61.4
commons-dbutils,36.2,1485,47,4,46,38,1,1,22,15,2.6,57.9,39.5,5,9,88.4
flink-kubernetes-operator,42.9,1012,185,16,365,126,8,4,75,47,3.2,59.5,37.3,43,247,74.6
commons-csv,70.9,3054,66,2,30,22,3,1,7,14,4.5,31.8,63.6,42,15,34.4
netbeans-mavenutils-nbm-maven-plugin,40.5,1835,35,2,60,25,2,0,8,17,0.0,32.0,68.0,8,37,75.8
zookeeper,93.0,2669,502,30,761,179,14,4,96,79,2.2,53.6,44.1,293,601,37.9
datasketches-java,89.7,3524,473,7,650,308,47,17,169,122,5.5,54.9,39.6,158,399,66.1
commons-lang,248.1,9068,470,25,544,381,66,9,213,159,2.4,55.9,41.7,64,274,85.6
tiles,52.2,1465,407,26,840,351,7,19,150,182,5.4,42.7,51.9,31,498,92.1
karaf-decanter,31.4,1194,104,1,148,80,22,0,40,40,0.0,50.0,50.0,23,91,77.7
sling-org-apache-sling-servlets-resolver,17.8,684,45,7,78,23,2,0,9,14,0.0,39.1,60.9,15,57,60.5
johnzon,33.0,1109,243,1,292,69,6,3,42,24,4.3,60.9,34.8,173,236,28.5
oozie,84.2,2412,656,44,1129,424,8,10,345,69,2.4,81.4,16.3,188,714,69.3
camel-k-runtime,107.6,2123,110,5,433,51,9,0,17,34,0.0,33.3,66.7,54,403,48.6
maven,554.2,15902,783,71,4930,506,34,28,240,238,5.5,47.4,47.0,206,4469,71.1
iceberg,293.9,7822,2115,113,3059,752,18,16,564,172,2.1,75.0,22.9,1250,2334,37.6
maven-scm,76.4,2339,538,30,818,399,44,7,297,95,1.8,74.4,23.8,109,467,78.5
commons-io,168.8,5938,283,41,327,227,15,3,145,79,1.3,63.9,34.8,15,134,93.8
commons-math,222.5,7366,823,29,1311,639,34,14,447,178,2.2,70.0,27.9,155,714,80.5
ws-axiom,185.2,5592,1256,60,1554,164,30,17,62,85,10.4,37.8,51.8,1032,1427,13.7
avro,150.2,4859,373,10,472,124,8,4,76,44,3.2,61.3,35.5,239,360,34.2
james-project,576.4,16944,3340,115,4883,1799,150,48,1249,502,2.7,69.4,27.9,1426,3302,55.8
incubator-seata,89.8,2398,1151,103,1716,852,35,11,252,589,1.3,29.6,69.1,196,902,81.3
commons-email,41.1,1952,61,15,45,38,2,0,26,12,0.0,68.4,31.6,8,9,82.6
ignite,1004.8,29716,6179,156,9882,1328,135,50,410,868,3.8,30.9,65.4,4695,9191,22.0
logging-log4j2,438.0,14624,1295,55,2040,792,97,36,318,438,4.5,40.2,55.3,448,1467,63.9
commons-cli,51.3,2110,108,1,97,48,1,0,31,17,0.0,64.6,35.4,59,50,44.9
incubator-kie-kogito-apps,72.0,1570,609,53,1603,382,17,8,308,66,2.1,80.6,17.3,174,1240,68.7
calcite-avatica,117.0,2870,290,23,1664,132,7,6,73,53,4.5,55.3,40.2,135,1542,49.4
incubator-tuweni,136.2,1492,147,1,377,93,0,0,77,16,0.0,82.8,17.2,53,284,63.7
commons-geometry,27.1,851,238,25,369,172,4,7,140,25,4.1,81.4,14.5,41,201,80.8
jclouds,367.1,10916,4496,36,8488,2745,497,125,2016,604,4.6,73.4,22.0,1716,6330,61.5
helix,155.9,4819,970,133,1448,199,4,6,101,92,3.0,50.8,46.2,638,1253,23.8
sling-org-apache-sling-launchpad-integration-tests,14.4,550,163,1,23,0,0,0,0,0,0.0,0.0,0.0,162,23,0.0
hadoop-hdfs,38.5,1134,239,2,351,47,0,0,22,25,0.0,46.8,53.2,190,304,19.8
maven-assembly-plugin,41.1,1413,58,6,358,44,1,0,25,19,0.0,56.8,43.2,8,315,84.6
commons-functor,28.5,900,235,5,205,162,5,4,121,37,2.5,74.7,22.8,68,48,70.4
commons-beanutils,69.1,2348,185,6,142,90,5,7,38,45,7.8,42.2,50.0,89,57,50.3
incubator-retired-tamaya,45.5,1575,307,6,756,194,28,23,44,127,11.9,22.7,65.5,107,597,64.5
cassandra,721.6,31508,2333,36,5440,1191,91,49,604,538,4.1,50.7,45.2,1106,4444,51.9
jackrabbit-oak,591.3,20613,3026,166,5037,1540,150,78,729,733,5.1,47.3,47.6,1320,3778,53.8
maven-wagon,40.8,1394,116,11,147,68,10,6,40,22,8.8,58.8,32.4,37,98,64.8
hbase,719.8,20805,2799,154,4100,916,23,39,589,288,4.3,64.3,31.4,1729,3211,34.6
commons-configuration,129.5,4629,234,14,303,157,1,1,132,24,0.6,84.1,15.3,63,147,71.4
cloudberry-pxf,48.2,1431,251,2,431,157,9,3,112,42,1.9,71.3,26.8,92,285,63.1
commons-numbers,105.4,1658,119,6,206,86,3,1,74,11,1.2,86.0,12.8,27,123,76.1
systemds,658.2,9068,1765,27,2516,226,22,66,95,65,29.2,42.0,28.8,1512,2318,13.0
maven-surefire,109.2,3524,365,23,1468,154,11,11,77,66,7.1,50.0,42.9,188,1328,45.0
pulsar,479.7,13867,1880,131,2945,909,70,21,495,393,2.3,54.5,43.2,840,2145,52.0
brooklyn-server,310.2,14472,1305,97,2141,580,83,16,237,327,2.8,40.9,56.4,628,1698,48.0
camel-spring-boot,1485.4,44522,13573,473,12106,3469,464,227,1410,1832,6.5,40.6,52.8,9631,10282,26.5
camel,3123.3,77754,15808,644,17912,4455,584,327,1906,2222,7.3,42.8,49.9,10709,15418,29.4
incubator-sentry,15.8,713,286,27,410,59,0,1,51,7,1.7,86.4,11.9,200,351,22.8
ftpserver,24.2,977,220,8,857,78,14,20,30,28,25.6,38.5,35.9,134,800,36.8
incubator-retired-tamaya-extensions,35.6,1618,376,7,872,213,23,16,81,116,7.5,38.0,54.5,156,688,57.7
santuario-xml-security-java,45.4,1790,275,13,642,92,7,2,57,33,2.2,62.0,35.9,170,560,35.1
qpid-jms,50.7,2449,468,21,451,161,14,1,53,107,0.6,32.9,66.5,286,314,36.0
mina,52.9,2411,327,24,1360,166,19,9,104,53,5.4,62.7,31.9,137,1217,54.8
commons-pool,60.1,3224,108,10,112,55,0,0,10,45,0.0,18.2,81.8,43,57,56.1
directmemory,13.2,642,80,15,146,28,4,6,11,11,21.4,39.3,39.3,37,123,43.1
shardingsphere-elasticjob,67.2,2475,769,33,885,421,34,20,245,156,4.8,58.2,37.1,315,525,57.2
santuario-java,76.3,2922,249,10,944,90,6,26,17,47,28.9,18.9,52.2,149,860,37.7
james-mime4j,24.3,996,218,5,504,138,21,9,95,34,6.5,68.8,24.6,75,392,64.8
james-jsieve,14.9,615,131,20,406,71,25,11,43,17,15.5,60.6,23.9,40,366,64.0
geronimo-xbean,27.8,1063,495,16,662,88,10,5,43,40,5.7,48.9,45.5,392,592,18.4
