classification,test_commit_total_lines__mean,prod_commit_total_lines__mean,sum_commit_total_lines__mean,test_commit_files__mean,prod_commit_files__mean,sum_commit_files__mean,test_commit_java_files__mean,prod_commit_java_files__mean,sum_commit_java_files__mean,test_commit_total_lines__median,prod_commit_total_lines__median,sum_commit_total_lines__median,test_commit_files__median,prod_commit_files__median,sum_commit_files__median,test_commit_java_files__median,prod_commit_java_files__median,sum_commit_java_files__median,n_rows
PRODUCTION_FIRST,24621.05646778208,109911.13219026549,134532.18865804755,171.1915618086283,483.15370920907077,654.3452710176991,116.08216952433628,317.3826569413717,433.464826465708,455.0,1750.0,3449.0,10.0,32.0,61.0,9.0,26.0,50.0,57856
SAME_COMMIT,720474.107652715,720474.107652715,1440948.21530543,2339.0195767128025,2339.0195767128025,4678.039153425605,1328.5409779393876,1328.5409779393876,2657.0819558787753,2861.0,2861.0,5722.0,41.0,41.0,82.0,33.0,33.0,66.0,78103
TEST_FIRST,151043.84610526316,81489.04715789473,232532.8932631579,531.944,464.88747368421053,996.8314736842106,319.7774736842105,281.91642105263156,601.6938947368421,1478.5,2334.0,7349.0,26.0,48.0,132.0,20.0,38.0,100.0,9500
