classification,test_commit_total_lines__mean,prod_commit_total_lines__mean,sum_commit_total_lines__mean,test_commit_files__mean,prod_commit_files__mean,sum_commit_files__mean,test_commit_java_files__mean,prod_commit_java_files__mean,sum_commit_java_files__mean,test_commit_total_lines__median,prod_commit_total_lines__median,sum_commit_total_lines__median,test_commit_files__median,prod_commit_files__median,sum_commit_files__median,test_commit_java_files__median,prod_commit_java_files__median,sum_commit_java_files__median,n_rows
PRODUCTION_FIRST,24621.05646778208,109911.13219026549,134532.18865804755,171.1915618086283,483.15370920907077,654.3452710176991,116.08216952433628,317.3826569413717,433.464826465708,455.0,1750.0,3449.0,10.0,32.0,61.0,9.0,26.0,50.0,57856
SAME_COMMIT,1218.4476219527696,1218.4476219527696,2436.8952439055392,21.71148224408348,21.71148224408348,43.42296448816696,17.90805561910572,17.90805561910572,35.81611123821144,823.0,823.0,1646.0,14.0,14.0,28.0,12.0,12.0,24.0,39339
TEST_FIRST,151043.84610526316,81489.04715789473,232532.8932631579,531.944,464.88747368421053,996.8314736842106,319.7774736842105,281.91642105263156,601.6938947368421,1478.5,2334.0,7349.0,26.0,48.0,132.0,20.0,38.0,100.0,9500
