repository,analysis_duration_seconds,total_commits,test_files_added,test_helpers,prod_files_added,matched_pairs,multi_test_prods,test_first_count,same_commit_count,prod_first_count,test_first_%,same_commit_%,prod_first_%,unmatched_test_files,unmatched_prod_files,match_rate_%
tuscany-sca-2.x,660.7,16253,4265,2507,11429,646,99,346,50,250,53.6,7.7,38.7,1120,11207,36.7
incubator-kie-tools,1479.0,23597,8973,444,29041,5615,302,235,3520,1860,4.2,62.7,33.1,2914,23938,65.8
ant-ivy,118.9,3096,152,5,573,125,4,3,67,55,2.4,53.6,44.0,22,452,85.0
usergrid,357.1,10954,632,50,2637,299,31,23,141,135,7.7,47.2,45.2,283,2371,51.4
flink-cdc,124.5,1439,366,49,1203,188,5,4,94,90,2.1,50.0,47.9,129,1020,59.3
cxf-dosgi,30.5,810,154,12,225,71,3,8,35,28,11.3,49.3,39.4,71,157,50.0
servicecomb-saga-actuator,16.9,518,61,4,170,48,2,1,17,30,2.1,35.4,62.5,9,127,84.2
tapestry4,221.0,3793,395,6,2670,299,5,10,171,118,3.3,57.2,39.5,90,2376,76.9
maven-mercury,35.2,769,128,6,625,62,6,3,35,24,4.8,56.5,38.7,60,573,50.8
nutch,115.7,3545,180,3,983,138,3,2,80,56,1.4,58.0,40.6,39,848,78.0
ace,74.1,1603,243,21,1421,149,35,25,44,80,16.8,29.5,53.7,73,1328,67.1
dubbo,329.1,8634,2251,223,3923,1143,127,119,401,623,10.4,35.1,54.5,910,3025,56.4
seatunnel,336.4,5220,685,28,4357,364,16,13,147,204,3.6,40.4,56.0,293,4011,55.4
joshua,143.6,4256,107,4,861,61,12,5,20,36,8.2,32.8,59.0,42,814,59.2
wookie,57.9,1921,85,8,419,48,1,4,23,21,8.3,47.9,43.8,29,372,62.3
incubator-baremaps,64.9,1541,218,4,973,174,11,27,81,66,15.5,46.6,37.9,40,814,81.3
iotdb,855.5,13252,1698,90,9640,963,64,62,559,342,6.4,58.0,35.5,645,8758,59.9
jackrabbit-filevault,51.2,1197,85,2,655,65,1,0,48,17,0.0,73.8,26.2,18,591,78.3
turbine-core,64.7,2176,91,0,702,56,5,3,13,40,5.4,23.2,71.4,35,652,61.5
shiro,116.7,4389,201,16,1226,152,13,22,50,80,14.5,32.9,52.6,33,1087,82.2
cxf,759.9,19148,3943,168,5252,1177,89,144,591,442,12.2,50.2,37.6,2598,4444,31.2
hive,1344.7,17964,3040,152,11739,1368,53,19,1016,333,1.4,74.3,24.3,1520,10791,47.4
incubator-kie-drools,715.9,17605,3417,183,12756,1625,163,186,746,693,11.4,45.9,42.6,1609,11474,50.2
dolphinscheduler,423.2,8798,891,31,3069,652,33,42,384,226,6.4,58.9,34.7,208,2460,75.8
