repo,stars,num_commits,test_ratio,test_files,java_files,has_build_system,has_ci_system,main_language,forks,first_commit_date,last_commit_date,project_life_days
sling-org-apache-sling-launchpad-integration-tests,6,539.0,0.8931,142,159,True,True,Java,7,2010-06-02 20:06:21+00:00,2025-10-22 18:23:38+00:00,5620.0
commons-csv,401,3039.0,0.7358,39,53,True,True,Java,287,2005-12-17 05:41:27+00:00,2025-11-21 14:40:16+00:00,7279.0
maven-surefire,448,3522.0,0.6431,964,1499,True,True,Java,558,2004-01-30 22:03:57+00:00,2025-11-08 23:20:58+00:00,7953.0
datasketches-memory,127,1097.0,0.6182,34,55,True,True,Java,36,2017-03-16 20:51:54+00:00,2025-04-19 04:35:51+00:00,2955.0
commons-logging,161,1922.0,0.6076,48,79,True,True,Java,132,2001-08-02 16:27:06+00:00,2025-11-21 14:42:55+00:00,8876.0
sling-org-apache-sling-testing-sling-mock,4,640.0,0.5797,80,138,True,True,Java,12,2014-10-13 14:32:45+00:00,2025-11-18 08:44:45+00:00,4053.0
commons-cli,380,2090.0,0.5647,48,85,True,True,Java,213,2002-06-10 18:01:16+00:00,2025-11-21 14:39:14+00:00,8564.0
commons-validator,218,2749.0,0.5031,80,159,True,True,Java,168,2002-01-06 00:47:39+00:00,2025-11-21 14:25:55+00:00,8720.0
commons-exec,154,1600.0,0.4923,32,65,True,True,Java,89,2005-07-29 02:59:37+00:00,2025-11-21 14:41:07+00:00,7420.0
commons-dbutils,386,1473.0,0.4835,44,91,True,True,Java,182,2003-11-02 19:15:24+00:00,2025-11-21 14:40:37+00:00,8054.0
activemq-artemis,993,11850.0,0.4794,2233,4658,True,True,Java,942,2014-10-29 15:52:15+00:00,2025-11-19 16:05:38+00:00,4039.0
commons-text,367,2608.0,0.478,98,205,True,True,Java,272,2014-11-11 19:42:39+00:00,2025-11-21 14:44:48+00:00,4027.0
commons-io,1047,5920.0,0.4749,255,537,True,True,Java,702,2002-01-25 19:06:14+00:00,2025-11-21 14:41:47+00:00,8700.0
