repo,stars,num_commits,test_ratio,test_files,java_files,has_build_system,has_ci_system,main_language,forks,first_commit_date,last_commit_date,project_life_days
dubbo-samples,2361,1771.0,0.1223,155,1267,True,True,Java,1978,2018-04-28 09:25:30+00:00,2025-11-19 06:01:09+00:00,2761.0
iceberg,8244,7736.0,0.3621,1744,4817,True,True,Java,2884,2017-12-13 21:52:43+00:00,2025-11-21 16:20:55+00:00,2899.0
tomee-tck,8,606.0,0.0,0,21,True,False,Java,15,2011-02-13 20:14:24+00:00,2024-07-25 18:33:50+00:00,4910.0
sling-org-apache-sling-feature-cpconverter,9,584.0,0.3214,45,140,True,True,Java,14,2019-03-27 22:56:54+00:00,2025-09-30 13:20:26+00:00,2378.0
camel-k-runtime,66,2123.0,0.34,51,150,True,True,Java,52,2019-02-20 12:58:21+00:00,2025-03-21 23:33:30+00:00,2221.0
onami,11,744.0,0.222,117,527,True,False,Java,3,2012-11-15 10:38:01+00:00,2014-07-22 20:55:20+00:00,614.0
netbeans-mavenutils-nbm-maven-plugin,15,1819.0,0.3462,18,52,True,True,Java,29,2006-06-22 17:13:10+00:00,2025-10-13 04:31:45+00:00,7052.0
netbeans-mavenutils-archetype-netbeans-platform-app-archetype,2,1263.0,1.0,1,1,True,True,Java,5,2006-06-22 17:13:10+00:00,2025-10-25 11:03:48+00:00,7064.0
dolphinscheduler,13960,8779.0,0.1882,487,2588,True,True,Java,4942,2019-03-01 16:39:25+00:00,2025-11-21 09:54:32+00:00,2456.0
xalan-java,20,4871.0,0.0093,9,970,True,True,Java,46,1999-11-09 16:50:01+00:00,2025-08-09 20:15:43+00:00,9405.0
streampark,4234,2019.0,0.0905,45,497,True,True,Java,1047,2021-05-23 17:00:20+00:00,2025-11-02 03:05:10+00:00,1623.0
incubator-weex-playground,44,968.0,0.0176,6,341,False,True,Java,28,2016-04-12 15:21:18+00:00,2021-05-27 13:02:21+00:00,1870.0
incubator-kie-kogito-runtimes,587,20935.0,0.1961,750,3824,True,True,Java,248,2005-12-05 22:42:19+00:00,2025-11-21 14:34:56+00:00,7290.0
shardingsphere-benchmark,27,862.0,0.0,0,118,False,False,Java,19,2019-09-17 07:19:53+00:00,2021-06-16 06:20:56+00:00,637.0
submarine,704,1051.0,0.2433,100,411,True,True,Java,254,2019-09-19 06:37:15+00:00,2024-04-03 00:59:35+00:00,1657.0
linkis,3399,4271.0,0.1031,222,2154,True,True,Java,1169,2019-07-23 06:41:52+00:00,2025-11-19 07:09:37+00:00,2311.0
camel-quarkus,278,6982.0,0.3377,1125,3331,True,True,Java,210,2019-02-24 22:56:49+00:00,2025-11-21 13:08:58+00:00,2461.0
eventmesh,1678,4839.0,0.0918,157,1711,True,True,Java,640,2019-09-16 03:04:57+00:00,2025-10-31 15:57:20+00:00,2237.0
incubator-tuweni,174,1492.0,0.3437,144,419,True,True,Java,84,2019-04-02 19:22:24+00:00,2023-05-29 07:12:16+00:00,1517.0
maven-mvnd,3307,1370.0,0.4171,83,199,True,True,Java,238,2019-09-21 17:54:59+00:00,2025-11-14 21:20:40+00:00,2246.0
ws-wss4j,41,3282.0,0.2657,195,734,True,True,Java,48,2004-02-13 20:43:09+00:00,2025-11-21 11:54:57+00:00,7951.0
ozone,1081,9747.0,0.301,1140,3788,True,True,Java,580,2018-03-15 16:23:33+00:00,2025-11-21 12:51:52+00:00,2807.0
incubator-kie-kogito-apps,67,1569.0,0.3636,497,1367,True,True,Java,156,2019-10-21 13:09:47+00:00,2025-11-21 14:40:52+00:00,2223.0
incubator-kie-tools,279,23585.0,0.2131,2943,13809,False,True,Java,232,2009-01-29 21:04:24+00:00,2025-11-21 14:42:54+00:00,6139.0
hop,1273,8626.0,0.1946,839,4311,True,True,Java,415,2019-09-24 10:48:13+00:00,2025-11-20 07:12:01+00:00,2248.0
flink-statefun,527,823.0,0.2028,103,508,True,True,Java,186,2019-12-03 13:27:26+00:00,2023-09-12 09:11:38+00:00,1378.0
ws-axiom,13,5580.0,0.4601,935,2032,True,True,Java,22,2006-02-01 02:24:08+00:00,2025-11-21 03:05:30+00:00,7233.0
camel-kafka-connector,166,2374.0,0.0972,86,885,True,True,Java,108,2019-12-04 11:12:24+00:00,2025-10-17 03:17:58+00:00,2143.0
inlong,1469,5192.0,0.1421,761,5354,True,True,Java,571,2019-09-11 04:55:41+00:00,2025-11-18 12:39:58+00:00,2260.0
axis-axis2-java-sandesha,1,884.0,0.2335,53,227,True,False,Java,2,2006-06-15 05:51:15+00:00,2014-06-01 13:18:49+00:00,2908.0
camel-karaf,37,1792.0,0.2494,98,393,True,True,Java,65,2020-03-23 07:47:44+00:00,2025-10-21 13:24:01+00:00,2038.0
camel-examples,461,2779.0,0.2035,58,285,True,True,Java,380,2007-05-17 15:37:54+00:00,2025-11-05 14:01:31+00:00,6746.0
tomcat-taglibs-standard,5,1009.0,0.0915,29,317,True,True,Java,7,2001-11-21 07:34:02+00:00,2023-01-20 10:07:05+00:00,7730.0
axis-axis2-java-rampart,2,1197.0,0.1471,40,272,True,True,Java,5,2007-01-03 05:58:13+00:00,2025-11-02 20:38:28+00:00,6878.0
felix-dev,154,17589.0,0.2319,929,4006,False,True,Java,152,2005-07-19 10:41:53+00:00,2025-11-19 08:13:07+00:00,7427.0
axis-axis1-java,13,13229.0,0.2245,326,1452,True,True,Java,29,2001-01-19 12:02:18+00:00,2025-02-09 23:54:28+00:00,8787.0
uima-async-scaleout,1,1843.0,0.0088,3,339,True,True,Java,4,2009-08-11 19:51:07+00:00,2022-06-10 21:35:32+00:00,4686.0
camel-kafka-connector-examples,66,829.0,0.0,0,2,False,False,Java,43,2020-04-29 13:29:55+00:00,2025-09-25 12:22:49+00:00,1974.0
uima-ruta,18,2619.0,0.1924,244,1268,True,True,Java,5,2011-08-01 12:13:46+00:00,2025-10-22 11:29:10+00:00,5195.0
santuario-xml-security-java,48,1785.0,0.3164,206,651,True,True,Java,66,2010-12-15 11:00:20+00:00,2025-11-12 10:53:32+00:00,5445.0
dubbo-spi-extensions,201,630.0,0.1841,174,945,True,True,Java,120,2020-05-18 03:22:29+00:00,2025-11-19 13:13:17+00:00,2011.0
commons-graph,36,908.0,0.1897,33,174,True,True,Java,12,2011-06-11 12:36:51+00:00,2025-11-21 14:23:44+00:00,5277.0
camel-quarkus-examples,93,560.0,0.3701,57,154,False,True,Java,130,2020-09-18 16:18:24+00:00,2025-11-07 14:10:46+00:00,1875.0
camel-spring-boot,179,44498.0,0.3802,950,2499,True,True,Java,189,2007-03-19 10:54:57+00:00,2025-11-21 09:20:45+00:00,6821.0
airavata-data-lake,9,545.0,0.0,0,154,True,True,Java,5,2020-11-10 18:02:25+00:00,2023-03-28 02:32:43+00:00,867.0
flink-cdc,6273,1432.0,0.2212,299,1352,True,True,Java,2096,2020-07-07 11:57:09+00:00,2025-11-18 07:38:43+00:00,1959.0
pulsar-release,3,783.0,0.3168,32,101,False,False,Java,4,2017-06-13 23:30:56+00:00,2020-11-11 06:37:06+00:00,1246.0
camel-kamelets,62,4239.0,0.625,10,16,True,True,Java,86,2020-11-26 09:22:34+00:00,2025-11-21 11:50:48+00:00,1821.0
axis-axis2-java-core,36,15033.0,0.2349,699,2976,True,True,Java,46,2004-09-02 16:01:47+00:00,2025-11-19 14:20:18+00:00,7747.0
incubator-wayang,235,2774.0,0.1297,140,1079,True,True,Java,107,2014-08-26 08:21:35+00:00,2025-11-17 08:48:43+00:00,4101.0
rocketmq-streams,177,811.0,0.0331,4,121,True,True,Java,82,2021-07-13 13:07:47+00:00,2023-08-11 08:42:38+00:00,758.0
ignite-3,283,6222.0,0.274,1990,7263,True,True,Java,130,2020-11-23 21:46:02+00:00,2025-11-21 15:00:05+00:00,1823.0
qpid-protonj2,17,2369.0,0.2257,249,1103,True,True,Java,13,2017-06-22 22:29:04+00:00,2025-10-13 15:24:40+00:00,3034.0
celeborn,1018,2516.0,0.0156,10,643,True,True,Java,406,2021-12-10 08:57:16+00:00,2025-11-21 08:33:57+00:00,1441.0
lucene,3243,38721.0,0.3173,1774,5591,True,True,Java,1252,2001-09-11 21:44:36+00:00,2025-11-20 13:22:56+00:00,8835.0
skywalking-java,876,7114.0,0.1248,416,3332,True,True,Java,665,2015-11-07 03:30:37+00:00,2025-11-20 15:22:39+00:00,3666.0
solr,1510,38547.0,0.3286,1353,4118,True,True,Java,787,2001-09-11 21:44:36+00:00,2025-11-20 14:11:39+00:00,8835.0
flink-kubernetes-operator,955,1012.0,0.3551,174,490,True,True,Java,500,2022-02-11 03:12:35+00:00,2025-11-04 09:54:03+00:00,1362.0
ratis-hadoop-projects,1,1269.0,0.2326,20,86,True,True,Java,5,2016-04-04 09:34:30+00:00,2022-02-03 10:24:44+00:00,2131.0
paimon,3085,5089.0,0.2483,895,3605,True,True,Java,1210,2022-01-12 03:33:21+00:00,2025-11-21 07:06:25+00:00,1409.0
rocketmq-clients,445,1270.0,0.2113,41,194,False,True,Java,270,2021-03-26 15:31:02+00:00,2025-11-07 02:08:09+00:00,1686.0
amoro,1071,1751.0,0.1906,267,1401,True,True,Java,362,2022-07-19 02:58:42+00:00,2025-11-21 08:25:58+00:00,1221.0
juddi-scout,1,557.0,0.1461,26,178,True,True,Java,0,2004-11-09 15:14:12+00:00,2023-02-21 23:24:40+00:00,6678.0
uniffle,429,1454.0,0.298,301,1010,True,True,Java,163,2021-10-29 08:05:32+00:00,2025-11-21 08:00:30+00:00,1483.0
hertzbeat,6825,2673.0,0.2275,273,1200,True,True,Java,1201,2021-11-10 12:07:27+00:00,2025-11-21 08:28:21+00:00,1471.0
seatunnel-web,755,2329.0,0.0497,29,584,True,True,Java,332,2017-08-05 14:30:14+00:00,2025-07-24 11:45:55+00:00,2909.0
pekko-platform-guide,4,894.0,0.1613,20,124,False,True,Java,6,2020-08-10 09:06:18+00:00,2024-03-22 15:09:08+00:00,1320.0
flink-connector-kafka,167,971.0,0.2622,59,225,True,True,Java,170,2022-11-22 14:38:43+00:00,2025-11-19 14:52:08+00:00,1093.0
