repo,stars,num_commits,test_ratio,test_files,java_files,has_build_system,has_ci_system,main_language,forks,first_commit_date,last_commit_date,project_life_days
incubator-wayang,235,2774.0,0.1297,140,1079,True,True,Java,107,2014-08-26 08:21:35+00:00,2025-11-17 08:48:43+00:00,4101.0
incubator-retired-blur,33,5242.0,0.1296,135,1042,True,False,Java,31,2010-06-20 19:03:49+00:00,2017-06-22 12:06:31+00:00,2558.0
chemistry-opencmis,56,2234.0,0.1294,135,1043,True,False,Java,74,2010-02-16 16:03:38+00:00,2019-05-24 11:46:36+00:00,3383.0
accumulo-proxy,11,639.0,0.125,7,56,True,True,Java,22,2013-01-17 21:22:35+00:00,2025-09-15 14:52:35+00:00,4623.0
skywalking-java,876,7114.0,0.1248,416,3332,True,True,Java,665,2015-11-07 03:30:37+00:00,2025-11-20 15:22:39+00:00,3666.0
synapse,76,4359.0,0.1223,158,1292,True,True,Java,62,2005-08-22 12:39:51+00:00,2025-10-08 17:01:39+00:00,7352.0
dubbo-samples,2361,1771.0,0.1223,155,1267,True,True,Java,1978,2018-04-28 09:25:30+00:00,2025-11-19 06:01:09+00:00,2761.0
calcite,4987,6360.0,0.1217,297,2440,True,True,Java,2448,2012-04-20 03:40:33+00:00,2025-11-12 12:22:30+00:00,4954.0
abdera,19,1500.0,0.1208,82,679,True,False,Java,26,2006-06-16 20:05:13+00:00,2017-04-06 12:20:19+00:00,3946.0
marmotta,55,2276.0,0.1188,183,1540,True,True,Java,50,2013-01-03 12:41:43+00:00,2018-06-18 18:31:12+00:00,1992.0
stanbol,114,3404.0,0.1186,197,1661,True,False,Java,74,2010-11-15 13:19:31+00:00,2018-12-01 20:44:15+00:00,2938.0
ambari-logsearch,31,656.0,0.1173,72,614,True,True,Java,55,2016-04-09 09:27:32+00:00,2024-07-31 00:53:33+00:00,3034.0
ode,45,3823.0,0.1156,143,1237,True,True,Java,60,2006-02-17 21:10:46+00:00,2020-01-14 05:08:26+00:00,5078.0
sling-ide-tooling,3,901.0,0.1136,41,361,False,True,Java,6,2013-07-25 13:02:46+00:00,2025-10-14 13:51:28+00:00,4464.0
myfaces-tobago,29,13781.0,0.1127,101,896,True,True,Java,30,2004-04-22 10:10:28+00:00,2025-11-21 11:21:12+00:00,7883.0
logging-log4j-tools,17,578.0,0.1124,10,89,True,True,Java,19,2016-11-12 07:29:22+00:00,2025-06-03 07:51:30+00:00,3125.0
incubator-taverna-mobile,15,699.0,0.112,14,125,True,True,Java,23,2015-05-07 00:17:44+00:00,2020-03-12 16:25:31+00:00,1771.0
syncope,308,9086.0,0.1102,358,3249,True,True,Java,200,2010-04-29 10:33:03+00:00,2025-11-20 14:24:28+00:00,5684.0
pivot,43,4660.0,0.1092,102,934,True,False,Java,25,2008-06-05 13:08:58+00:00,2019-08-14 04:00:20+00:00,4086.0
portals-pluto,26,2991.0,0.1082,175,1617,True,False,Java,36,2003-09-30 14:01:12+00:00,2025-04-04 19:56:44+00:00,7857.0
causeway,881,29588.0,0.1077,479,4449,True,True,Java,315,2004-07-30 11:02:50+00:00,2025-11-20 19:14:47+00:00,7783.0
myfaces-scripting,2,863.0,0.1075,30,279,True,False,Java,5,2009-08-17 17:48:16+00:00,2017-09-24 22:01:34+00:00,2960.0
skywalking,24590,8386.0,0.1057,234,2213,True,True,Java,6627,2015-11-07 03:30:37+00:00,2025-11-19 13:12:42+00:00,3665.0
asterixdb-hyracks,19,2594.0,0.1053,211,2004,True,False,Java,31,2010-06-16 20:42:03+00:00,2016-04-04 20:59:55+00:00,2119.0
giraph,619,1138.0,0.104,144,1384,True,False,Java,304,2011-08-06 07:27:30+00:00,2022-03-09 03:51:20+00:00,3867.0
linkis,3399,4271.0,0.1031,222,2154,True,True,Java,1169,2019-07-23 06:41:52+00:00,2025-11-19 07:09:37+00:00,2311.0
openmeetings,670,3803.0,0.1025,82,800,True,True,Java,263,2015-12-13 05:54:37+00:00,2025-11-04 05:23:54+00:00,3613.0
roller,126,4786.0,0.1023,59,577,True,True,Java,141,2005-06-07 02:56:59+00:00,2025-06-29 21:39:58+00:00,7327.0
