repo,test_ratio,test_files,java_files,num_commits,stars,has_ci_system,has_build_system,main_language,forks,first_commit_date,last_commit_date,project_life_days
directory-fortress-core,0.0629,21,334,2108.0,51,False,True,Java,35,2011-09-11 18:28:10+00:00,2025-08-15 14:36:50+00:00,5086.0
odftoolkit,0.0601,149,2481,822.0,36,False,True,Java,24,2011-08-31 09:29:37+00:00,2018-10-02 11:11:40+00:00,2589.0
karaf-cellar,0.0597,19,318,1271.0,50,True,True,Java,51,2011-05-06 17:55:35+00:00,2025-09-25 08:57:11+00:00,5255.0
empire-db,0.0579,27,466,1851.0,88,False,True,Java,25,2008-08-04 07:33:09+00:00,2025-11-18 11:56:23+00:00,6315.0
ofbiz,0.0534,57,1068,24427.0,801,False,True,Java,557,2006-07-01 19:05:20+00:00,2017-02-12 10:32:53+00:00,3878.0
ant-ivyde,0.0524,11,210,849.0,13,False,True,Java,16,2007-01-24 18:30:33+00:00,2023-11-26 15:50:11+00:00,6149.0
tapestry3,0.0518,44,849,1985.0,5,False,True,Java,12,2000-07-24 14:38:00+00:00,2024-12-08 15:49:38+00:00,8903.0
struts1,0.0507,34,671,5272.0,33,False,True,Java,88,2000-05-31 22:28:08+00:00,2010-10-08 23:16:24+00:00,3782.0
seatunnel-web,0.0497,29,584,2329.0,755,True,True,Java,332,2017-08-05 14:30:14+00:00,2025-07-24 11:45:55+00:00,2909.0
cocoon,0.0473,133,2811,13218.0,28,False,True,Java,25,2003-02-27 01:27:33+00:00,2023-10-29 11:28:19+00:00,7549.0
james-hupa,0.0471,19,403,727.0,23,False,True,Java,17,2009-09-04 09:04:09+00:00,2021-07-30 10:52:51+00:00,4347.0
geronimo-specs,0.0454,174,3836,1900.0,27,False,True,Java,30,2003-08-14 16:12:52+00:00,2019-08-10 13:59:29+00:00,5839.0
plc4x,0.0445,230,5173,9634.0,1499,True,True,Java,462,2017-10-16 11:09:26+00:00,2025-11-21 13:12:09+00:00,2958.0
uima-ducc,0.039,46,1178,4948.0,1,False,True,Java,0,2013-01-02 18:47:50+00:00,2020-05-27 12:41:11+00:00,2701.0
directory-studio,0.0363,67,1847,5828.0,141,True,True,Java,61,2006-11-16 09:49:01+00:00,2025-08-11 07:40:30+00:00,6842.0
geronimo-devtools,0.0349,38,1089,1981.0,4,False,True,Java,4,2005-08-16 19:46:27+00:00,2013-05-29 20:27:39+00:00,2843.0
vxquery,0.0344,26,756,1156.0,20,False,True,Java,29,2009-07-20 04:18:07+00:00,2018-07-01 18:28:11+00:00,3268.0
rocketmq-streams,0.0331,4,121,811.0,177,True,True,Java,82,2021-07-13 13:07:47+00:00,2023-08-11 08:42:38+00:00,758.0
chainsaw,0.0317,6,189,934.0,18,False,True,Java,19,2000-12-14 02:19:26+00:00,2014-11-20 14:26:16+00:00,5089.0
lenya,0.0315,21,667,10657.0,18,False,True,Java,8,2002-01-11 14:52:57+00:00,2011-09-26 09:07:59+00:00,3544.0
struts-examples,0.0311,6,193,1624.0,440,True,True,Java,561,2006-05-07 04:48:10+00:00,2025-10-04 09:00:06+00:00,7090.0
streampipes-extensions,0.0284,21,739,1422.0,26,False,True,Java,19,2018-06-26 13:30:08+00:00,2022-03-28 08:18:58+00:00,1370.0
incubator-taverna-workbench,0.0251,20,797,2525.0,6,False,True,Java,8,2009-02-25 08:45:10+00:00,2020-03-12 16:28:51+00:00,4033.0
karaf-jclouds,0.0246,3,122,622.0,5,False,True,Java,7,2011-05-16 23:05:30+00:00,2023-12-16 09:29:59+00:00,4596.0
guacamole-client,0.0216,17,786,7130.0,1581,True,True,Java,796,2010-06-25 07:33:08+00:00,2025-11-10 01:30:36+00:00,5616.0
incubator-taverna-server,0.0199,6,301,819.0,6,False,True,Java,7,2010-07-08 10:08:02+00:00,2020-03-12 16:28:51+00:00,3535.0
incubator-weex-playground,0.0176,6,341,968.0,44,True,False,Java,28,2016-04-12 15:21:18+00:00,2021-05-27 13:02:21+00:00,1870.0
celeborn,0.0156,10,643,2516.0,1018,True,True,Java,406,2021-12-10 08:57:16+00:00,2025-11-21 08:33:57+00:00,1441.0
directory-fortress-commander,0.0109,1,92,522.0,9,False,True,Java,6,2013-08-27 19:52:44+00:00,2025-07-04 12:36:00+00:00,4328.0
shardingsphere-example,0.0105,1,95,1437.0,986,True,True,Java,732,2017-09-19 10:30:34+00:00,2020-08-11 06:13:18+00:00,1056.0
xalan-java,0.0093,9,970,4871.0,20,True,True,Java,46,1999-11-09 16:50:01+00:00,2025-08-09 20:15:43+00:00,9405.0
uima-async-scaleout,0.0088,3,339,1843.0,1,True,True,Java,4,2009-08-11 19:51:07+00:00,2022-06-10 21:35:32+00:00,4686.0
incubator-taverna-workbench-common-activities,0.008,1,125,502.0,2,False,True,Java,4,2009-02-23 10:03:02+00:00,2020-03-12 16:28:51+00:00,4035.0
ofbiz-plugins,0.0076,1,132,4594.0,164,True,False,Java,188,2006-11-18 10:32:43+00:00,2025-11-19 16:58:01+00:00,6941.0
xalan-j,0.0063,6,958,4561.0,23,False,True,Java,65,1999-11-09 16:50:01+00:00,2019-05-24 04:01:20+00:00,7135.0
incubator-kie-benchmarks,0.006,3,498,607.0,8,True,True,Java,43,2016-04-06 12:20:00+00:00,2025-07-01 07:49:02+00:00,3372.0
logging-chainsaw,0.006,1,168,1359.0,21,True,True,Java,11,2000-12-14 02:19:26+00:00,2023-12-29 22:06:23+00:00,8415.0
servicemix-bundles,0.0,0,59,28669.0,58,False,True,Java,106,2008-06-23 21:12:19+00:00,2025-07-16 21:40:11+00:00,6232.0
karaf-eik,0.0,0,188,654.0,7,False,True,Java,12,2012-01-04 06:53:04+00:00,2014-08-13 07:15:36+00:00,952.0
airavata-data-lake,0.0,0,154,545.0,9,True,True,Java,5,2020-11-10 18:02:25+00:00,2023-03-28 02:32:43+00:00,867.0
servicemix4-bundles,0.0,0,152,7583.0,17,False,True,Java,18,2008-06-23 21:12:19+00:00,2015-02-10 02:17:29+00:00,2422.0
