repo,test_ratio,test_files,java_files,num_commits,stars,has_ci_system,has_build_system,main_language,forks,first_commit_date,last_commit_date,project_life_days
cassandra,0.3471,2090,6021,31461.0,9484,True,True,Java,3800,2009-03-02 07:57:22+00:00,2025-11-20 15:52:34+00:00,6107.0
netbeans-mavenutils-nbm-maven-plugin,0.3462,18,52,1819.0,15,True,True,Java,29,2006-06-22 17:13:10+00:00,2025-10-13 04:31:45+00:00,7052.0
logging-log4j2,0.3461,847,2447,14622.0,3557,True,True,Java,1696,2010-05-13 06:31:04+00:00,2025-11-11 21:12:22+00:00,5661.0
james-project,0.3441,2083,6053,16916.0,971,True,True,Java,484,2006-09-30 17:19:35+00:00,2025-11-18 07:35:29+00:00,6988.0
incubator-tuweni,0.3437,144,419,1492.0,174,True,True,Java,84,2019-04-02 19:22:24+00:00,2023-05-29 07:12:16+00:00,1517.0
commons-rdf,0.3418,54,158,2046.0,51,True,True,Java,44,2014-06-06 07:52:20+00:00,2025-11-21 14:43:53+00:00,4186.0
phoenix,0.3416,825,2415,4180.0,1050,True,True,Java,1009,2014-01-27 19:16:01+00:00,2025-11-11 21:54:48+00:00,4306.0
tinkerpop,0.3409,632,1854,21639.0,2085,True,True,Java,841,2013-09-02 15:18:46+00:00,2025-11-21 00:57:42+00:00,4462.0
camel-k-runtime,0.34,51,150,2123.0,66,True,True,Java,52,2019-02-20 12:58:21+00:00,2025-03-21 23:33:30+00:00,2221.0
aries-jax-rs-whiteboard,0.3396,54,159,795.0,27,True,True,Java,30,2016-06-29 15:08:51+00:00,2022-12-30 07:16:08+00:00,2374.0
whirr,0.3396,91,268,569.0,94,False,True,Java,56,2010-06-01 04:41:54+00:00,2015-04-24 06:31:06+00:00,1788.0
crunch,0.339,241,711,1093.0,108,False,True,Java,81,2011-10-10 06:12:24+00:00,2021-02-02 17:20:15+00:00,3403.0
camel-quarkus,0.3377,1125,3331,6982.0,278,True,True,Java,210,2019-02-24 22:56:49+00:00,2025-11-21 13:08:58+00:00,2461.0
james-jsieve,0.3353,58,173,615.0,10,True,True,Java,24,2004-02-06 15:08:17+00:00,2025-09-16 18:54:48+00:00,7893.0
jclouds-labs,0.3337,270,809,1980.0,3,False,True,Java,7,2012-01-18 06:07:21+00:00,2022-03-26 09:30:48+00:00,3720.0
brooklyn-library,0.3333,182,546,3811.0,11,True,True,Java,36,2011-06-10 12:55:13+00:00,2024-04-10 11:18:35+00:00,4687.0
commons-proxy,0.3333,34,102,608.0,26,True,True,Java,22,2005-08-21 17:38:47+00:00,2025-11-02 20:37:48+00:00,7378.0
shindig,0.3323,334,1005,4786.0,66,False,True,Java,66,2007-12-11 23:06:13+00:00,2015-12-07 13:59:13+00:00,2917.0
incubator-brooklyn,0.3306,844,2553,13002.0,142,False,True,Java,90,2011-06-10 12:55:13+00:00,2016-01-30 12:05:26+00:00,1694.0
incubator-taverna-language,0.3306,122,369,3560.0,22,True,True,Java,26,2010-01-06 10:01:54+00:00,2020-03-12 16:28:51+00:00,3718.0
qpid-jms,0.3294,225,683,2449.0,77,True,True,Java,155,2013-05-29 15:37:26+00:00,2025-09-12 16:38:03+00:00,4489.0
solr,0.3286,1353,4118,38547.0,1510,True,True,Java,787,2001-09-11 21:44:36+00:00,2025-11-20 14:11:39+00:00,8835.0
shardingsphere-elasticjob,0.3273,182,556,2475.0,8217,True,True,Java,3274,2015-10-09 09:59:23+00:00,2025-10-25 15:44:35+00:00,3669.0
beam,0.3267,2031,6217,46073.0,8373,True,True,Java,4440,2014-12-13 18:56:14+00:00,2025-11-21 15:59:04+00:00,3995.0
jackrabbit,0.3253,931,2862,9414.0,355,True,True,Java,230,2004-09-13 17:48:13+00:00,2025-11-21 14:04:37+00:00,7738.0
aurora,0.3239,205,633,4091.0,634,True,True,Java,230,2010-04-13 22:59:31+00:00,2020-02-21 18:19:34+00:00,3600.0
druid,0.3232,2879,8908,15461.0,13874,True,True,Java,3768,2012-10-23 19:08:07+00:00,2025-11-21 16:49:23+00:00,4776.0
ftpserver,0.3222,106,329,977.0,80,False,True,Java,56,2003-03-31 06:50:36+00:00,2012-09-15 20:34:47+00:00,3456.0
sling-org-apache-sling-feature-cpconverter,0.3214,45,140,584.0,9,True,True,Java,14,2019-03-27 22:56:54+00:00,2025-09-30 13:20:26+00:00,2378.0
mina-ftpserver,0.3212,106,330,1061.0,59,True,True,Java,36,2003-03-31 06:50:36+00:00,2024-12-26 13:54:46+00:00,7941.0
directmemory,0.3208,51,159,642.0,53,False,True,Java,27,2011-10-12 19:37:28+00:00,2015-08-02 05:38:47+00:00,1389.0
commons-imaging,0.3196,186,582,3070.0,471,True,True,Java,199,2007-10-06 05:00:16+00:00,2025-11-21 14:41:35+00:00,6621.0
santuario-java,0.3194,191,598,2922.0,25,False,True,Java,33,2001-09-28 17:52:10+00:00,2020-05-15 07:25:56+00:00,6803.0
commons-jexl,0.3194,69,216,3798.0,225,True,True,Java,92,2002-04-26 04:23:17+00:00,2025-11-21 14:42:23+00:00,8610.0
james-mime4j,0.3176,94,296,996.0,55,True,True,Java,82,2005-05-03 13:44:19+00:00,2025-09-07 18:53:27+00:00,7432.0
sentry,0.3175,254,800,1542.0,120,False,True,Java,90,2012-12-14 19:07:54+00:00,2020-07-25 19:52:31+00:00,2780.0
lucene,0.3173,1774,5591,38721.0,3243,True,True,Java,1252,2001-09-11 21:44:36+00:00,2025-11-20 13:22:56+00:00,8835.0
shenyu,0.3168,1000,3157,3721.0,8729,True,True,Java,3024,2018-07-11 09:20:57+00:00,2025-11-20 09:23:04+00:00,2689.0
santuario-xml-security-java,0.3164,206,651,1785.0,48,True,True,Java,66,2010-12-15 11:00:20+00:00,2025-11-12 10:53:32+00:00,5445.0
commons-vfs,0.3157,173,548,4518.0,245,True,True,Java,215,2002-07-16 17:19:16+00:00,2025-11-21 14:45:11+00:00,8528.0
maven-enforcer,0.3136,37,118,978.0,156,True,True,Java,169,2007-09-01 00:16:55+00:00,2025-11-17 16:22:55+00:00,6652.0
kafka,0.3129,1742,5567,16648.0,31355,True,True,Java,14798,2011-08-01 23:41:24+00:00,2025-11-21 15:21:29+00:00,5225.0
incubator-kie-optaplanner,0.3128,855,2733,9038.0,3437,True,True,Java,963,2005-12-05 22:42:19+00:00,2025-10-27 20:38:47+00:00,7265.0
logging-flume,0.3126,176,563,2014.0,2557,True,True,Java,1560,2011-08-09 22:55:42+00:00,2024-10-10 11:41:44+00:00,4810.0
incubator-sentry,0.3124,209,669,713.0,34,False,True,Java,43,2012-12-14 19:07:54+00:00,2016-03-22 10:40:15+00:00,1193.0
maven-dependency-plugin,0.3116,43,138,1451.0,164,True,True,Java,186,2006-04-10 00:42:11+00:00,2025-11-07 22:00:51+00:00,7151.0
commons-pool,0.3115,38,122,3204.0,541,True,True,Java,298,2001-04-14 16:40:29+00:00,2025-11-21 14:43:43+00:00,8986.0
accumulo,0.31,726,2342,14569.0,1121,True,True,Java,470,2011-10-04 00:46:07+00:00,2025-11-20 23:57:55+00:00,5161.0
maven-doxia,0.3097,48,155,2018.0,30,True,True,Java,51,2005-11-01 01:22:33+00:00,2025-11-10 12:47:48+00:00,7314.0
creadur-rat,0.309,89,288,3427.0,33,True,True,Java,52,2008-03-11 23:08:58+00:00,2025-11-21 08:36:29+00:00,6463.0
apex-malhar,0.3064,595,1942,6097.0,133,True,True,Java,146,2012-08-20 23:32:32+00:00,2019-06-02 17:25:36+00:00,2476.0
wink,0.3057,417,1364,895.0,20,False,True,Java,22,2009-06-08 17:20:10+00:00,2016-03-09 23:11:45+00:00,2466.0
commons-scxml,0.3029,53,175,2113.0,61,True,True,Java,53,2005-08-17 18:48:02+00:00,2025-11-21 14:44:20+00:00,7400.0
streams,0.3014,170,564,1819.0,78,True,True,Java,45,2012-12-10 21:44:02+00:00,2024-02-10 17:31:41+00:00,4078.0
ozone,0.301,1140,3788,9747.0,1081,True,True,Java,580,2018-03-15 16:23:33+00:00,2025-11-21 12:51:52+00:00,2807.0
