repo,stars,num_commits,test_ratio,test_files,java_files,has_build_system,has_ci_system,main_language,forks,first_commit_date,last_commit_date,project_life_days
whirr,94,569.0,0.3396,91,268,True,False,Java,56,2010-06-01 04:41:54+00:00,2015-04-24 06:31:06+00:00,1788.0
aries-jax-rs-whiteboard,27,795.0,0.3396,54,159,True,True,Java,30,2016-06-29 15:08:51+00:00,2022-12-30 07:16:08+00:00,2374.0
crunch,108,1093.0,0.339,241,711,True,False,Java,81,2011-10-10 06:12:24+00:00,2021-02-02 17:20:15+00:00,3403.0
camel-quarkus,278,6982.0,0.3377,1126,3334,True,True,Java,210,2019-02-24 22:56:49+00:00,2025-11-21 13:08:58+00:00,2461.0
james-jsieve,10,615.0,0.3353,58,173,True,True,Java,24,2004-02-06 15:08:17+00:00,2025-09-16 18:54:48+00:00,7893.0
jclouds-labs,3,1980.0,0.3337,270,809,True,False,Java,7,2012-01-18 06:07:21+00:00,2022-03-26 09:30:48+00:00,3720.0
brooklyn-library,11,3811.0,0.3333,182,546,True,True,Java,36,2011-06-10 12:55:13+00:00,2024-04-10 11:18:35+00:00,4687.0
commons-proxy,26,608.0,0.3333,34,102,True,True,Java,22,2005-08-21 17:38:47+00:00,2025-11-02 20:37:48+00:00,7378.0
shindig,66,4786.0,0.3323,334,1005,True,False,Java,66,2007-12-11 23:06:13+00:00,2015-12-07 13:59:13+00:00,2917.0
incubator-taverna-language,22,3560.0,0.3306,122,369,True,True,Java,26,2010-01-06 10:01:54+00:00,2020-03-12 16:28:51+00:00,3718.0
incubator-brooklyn,142,13002.0,0.3306,844,2553,True,False,Java,90,2011-06-10 12:55:13+00:00,2016-01-30 12:05:26+00:00,1694.0
qpid-jms,77,2449.0,0.3294,225,683,True,True,Java,155,2013-05-29 15:37:26+00:00,2025-09-12 16:38:03+00:00,4489.0
solr,1510,38547.0,0.3285,1353,4119,True,True,Java,787,2001-09-11 21:44:36+00:00,2025-11-20 14:11:39+00:00,8835.0
