repo,stars,num_commits,test_ratio,test_files,java_files,has_build_system,has_ci_system,main_language,forks,first_commit_date,last_commit_date,project_life_days
maven-changes-plugin,12,821.0,0.2727,18,66,True,True,Java,23,2006-07-28 23:32:54+00:00,2025-11-18 07:47:24+00:00,7052.0
fory,4068,1574.0,0.272,164,603,True,True,Java,340,2023-04-28 04:59:26+00:00,2025-11-22 02:17:21+00:00,938.0
pinot,5961,14330.0,0.2717,1385,5097,True,True,Java,1429,2014-10-31 17:25:02+00:00,2025-11-20 19:21:18+00:00,4038.0
maven-plugins,239,15063.0,0.2708,512,1891,True,False,Java,270,2004-03-15 19:32:20+00:00,2018-04-02 14:06:46+00:00,5130.0
creadur-whisker,7,1164.0,0.2708,26,96,True,True,Java,7,2011-08-06 12:04:10+00:00,2025-11-21 08:52:40+00:00,5220.0
samza,833,2610.0,0.2707,442,1633,True,True,Java,333,2013-08-12 16:19:28+00:00,2025-05-02 22:22:30+00:00,4281.0
ranger,1006,5137.0,0.2706,495,1829,True,True,Java,1046,2014-08-14 20:48:58+00:00,2025-11-21 14:21:50+00:00,4116.0
aries-rsa,12,1052.0,0.2692,49,182,True,False,Java,23,2009-01-12 15:55:34+00:00,2025-07-01 17:55:32+00:00,6014.0
sling-org-apache-sling-distribution-core,5,538.0,0.2687,72,268,True,True,Java,28,2014-11-07 10:28:02+00:00,2025-08-06 12:20:02+00:00,3925.0
rocketmq,22216,8951.0,0.2665,564,2116,True,True,Java,11975,2013-05-15 05:45:27+00:00,2025-11-20 12:09:43+00:00,4572.0
accumulo-fluo,193,1031.0,0.2662,78,293,True,True,Java,72,2013-06-19 20:14:06+00:00,2025-09-24 19:23:17+00:00,4479.0
ws-wss4j,41,3282.0,0.2657,195,734,True,True,Java,48,2004-02-13 20:43:09+00:00,2025-11-21 11:54:57+00:00,7951.0
incubator-ambari,8,3673.0,0.2653,221,833,True,False,Java,13,2011-08-30 22:00:51+00:00,2013-11-23 02:44:54+00:00,815.0
directory-mavibot,16,581.0,0.2647,45,170,True,True,Java,7,2012-06-13 00:04:55+00:00,2021-05-15 10:39:21+00:00,3258.0
knox,207,3028.0,0.2645,446,1686,True,True,Java,265,2012-10-24 18:57:32+00:00,2025-11-21 12:23:37+00:00,4775.0
struts,1336,8126.0,0.2643,569,2153,True,True,Java,833,2006-02-22 05:16:10+00:00,2025-11-21 05:48:42+00:00,7212.0
sling-org-apache-sling-jcr-resource,5,770.0,0.2642,14,53,True,True,Java,13,2009-02-22 13:43:19+00:00,2025-09-26 07:04:22+00:00,6059.0
olingo-odata2,42,942.0,0.2635,298,1131,True,True,Java,79,2013-07-26 11:20:03+00:00,2025-05-07 19:43:56+00:00,4303.0
commons-jxpath,35,1480.0,0.2629,61,232,True,True,Java,63,2001-08-23 00:47:02+00:00,2025-11-21 14:42:33+00:00,8856.0
flink-connector-kafka,167,971.0,0.2622,59,225,True,True,Java,170,2022-11-22 14:38:43+00:00,2025-11-19 14:52:08+00:00,1093.0
sling-org-apache-sling-scripting-core,1,532.0,0.2615,17,65,True,True,Java,7,2009-02-22 13:45:12+00:00,2025-08-06 12:20:02+00:00,6008.0
metamodel,157,893.0,0.2614,206,788,True,True,Java,150,2013-06-09 20:32:07+00:00,2021-06-23 19:22:20+00:00,2935.0
ambari,2273,25082.0,0.2608,869,3332,True,True,Java,1743,2011-08-30 22:00:51+00:00,2025-11-13 06:16:09+00:00,5188.0
commons-jcs,103,2821.0,0.2598,146,562,True,True,Java,52,2002-04-07 16:55:19+00:00,2025-11-21 14:42:05+00:00,8628.0
sling-slingfeature-maven-plugin,3,781.0,0.2597,20,77,True,True,Java,11,2017-11-03 14:06:50+00:00,2025-08-06 12:20:02+00:00,2832.0
zeppelin,6584,5591.0,0.259,216,834,True,True,Java,2829,2013-06-19 04:40:59+00:00,2025-11-11 12:49:07+00:00,4528.0
tuscany-sdo,5,530.0,0.2587,74,286,True,False,Java,10,2005-12-18 02:57:58+00:00,2009-11-10 22:30:15+00:00,1423.0
incubator-hivemall,314,2037.0,0.2586,166,642,True,True,Java,114,2013-09-26 11:23:52+00:00,2022-09-06 15:55:16+00:00,3267.0
oltu,167,860.0,0.2585,61,236,True,False,Java,118,2010-01-27 16:34:31+00:00,2017-10-31 16:43:05+00:00,2834.0
bifromq,729,697.0,0.2581,455,1763,True,True,Java,75,2023-05-29 07:27:31+00:00,2025-11-20 01:20:04+00:00,905.0
incubator-atlas,95,1739.0,0.257,211,821,True,False,Java,106,2014-11-20 07:08:27+00:00,2017-07-21 16:28:44+00:00,974.0
stormcrawler,948,2382.0,0.2562,62,242,True,True,Java,268,2013-04-12 14:13:30+00:00,2025-11-18 19:00:47+00:00,4603.0
tika,3431,9848.0,0.2547,445,1747,True,True,Java,890,2007-03-31 07:22:55+00:00,2025-11-20 13:39:18+00:00,6809.0
etch,17,549.0,0.2536,107,422,True,False,Java,8,2008-07-29 06:31:55+00:00,2015-05-18 06:36:35+00:00,2484.0
kylin,3761,957.0,0.2514,879,3496,True,False,Java,1522,2022-08-01 07:48:53+00:00,2025-10-20 06:00:44+00:00,1175.0
commons-bcel,264,3249.0,0.2512,162,645,True,True,Java,133,2001-10-29 12:42:33+00:00,2025-11-21 14:35:04+00:00,8789.0
tomcat-maven-plugin,171,625.0,0.25,25,100,True,False,Java,150,2011-08-30 08:23:49+00:00,2025-09-14 21:09:29+00:00,5129.0
camel-karaf,37,1792.0,0.2494,98,393,True,True,Java,65,2020-03-23 07:47:44+00:00,2025-10-21 13:24:01+00:00,2038.0
paimon,3085,5089.0,0.2481,897,3616,True,True,Java,1210,2022-01-12 03:33:21+00:00,2025-11-21 07:06:25+00:00,1409.0
incubator-retired-tamaya-sandbox,1,527.0,0.2477,53,214,True,True,Java,5,2015-01-22 19:26:03+00:00,2020-01-01 18:47:50+00:00,1804.0
qpid-broker-j,66,9288.0,0.2465,754,3059,True,True,Java,53,2006-09-19 22:06:50+00:00,2025-10-10 07:49:28+00:00,6960.0
submarine,704,1051.0,0.2433,100,411,True,True,Java,254,2019-09-19 06:37:15+00:00,2024-04-03 00:59:35+00:00,1657.0
ant,451,15053.0,0.243,323,1329,True,False,Java,449,2000-01-13 10:15:43+00:00,2025-08-19 03:41:30+00:00,9349.0
sedona,2244,2319.0,0.2425,113,466,True,True,Java,743,2015-04-24 18:01:29+00:00,2025-11-16 07:28:39+00:00,3858.0
maven-indexer,68,681.0,0.2413,69,286,True,True,Java,68,2010-11-03 22:51:12+00:00,2025-11-02 12:51:23+00:00,5477.0
directory-ldap-api,38,6468.0,0.2402,363,1511,True,True,Java,43,2006-01-13 18:00:28+00:00,2025-11-20 05:58:40+00:00,7250.0
sling-org-apache-sling-app-cms,71,1076.0,0.2402,61,254,True,True,Java,50,2018-01-27 18:37:33+00:00,2025-08-06 12:20:02+00:00,2747.0
deltaspike,152,2693.0,0.2393,410,1713,True,True,Java,134,2011-12-22 13:04:14+00:00,2025-08-11 06:08:11+00:00,4980.0
gobblin,2251,6520.0,0.2392,865,3616,True,True,Java,750,2014-02-04 23:07:00+00:00,2025-11-20 06:29:40+00:00,4306.0
servicemix3,3,2968.0,0.2384,170,713,True,False,Java,4,2005-12-12 17:56:35+00:00,2012-08-19 12:40:02+00:00,2441.0
sling-org-apache-sling-engine,13,650.0,0.2376,24,101,True,True,Java,18,2009-02-22 13:44:33+00:00,2025-08-06 12:20:02+00:00,6008.0
maven-shared,28,3387.0,0.2367,129,545,True,False,Java,41,2005-11-28 21:19:46+00:00,2017-12-22 11:27:19+00:00,4406.0
xmlbeans,57,2017.0,0.2364,304,1286,True,True,Java,63,2003-09-02 18:55:16+00:00,2025-09-24 08:40:36+00:00,8057.0
rocketmq-externals,4614,1006.0,0.2353,52,221,False,True,Java,3051,2017-01-06 12:00:35+00:00,2024-12-09 09:00:27+00:00,2893.0
axis-axis2-java-core,36,15033.0,0.2349,699,2976,True,True,Java,46,2004-09-02 16:01:47+00:00,2025-11-19 14:20:18+00:00,7747.0
polaris,1743,2153.0,0.2349,253,1077,True,True,Java,332,2024-05-29 18:44:28+00:00,2025-11-21 23:01:53+00:00,541.0
gravitino,2337,3218.0,0.2345,701,2989,True,True,Java,670,2023-04-23 02:09:00+00:00,2025-11-22 09:11:17+00:00,944.0
sling-org-apache-sling-api,15,724.0,0.2344,45,192,True,True,Java,22,2009-02-22 13:41:45+00:00,2025-10-27 17:24:14+00:00,6091.0
maven-compiler-plugin,229,1004.0,0.2343,67,286,True,True,Java,181,2004-03-15 19:32:20+00:00,2025-11-20 15:24:02+00:00,7919.0
sandesha,1,884.0,0.2335,53,227,True,False,Java,2,2006-06-15 05:51:15+00:00,2014-06-01 13:18:49+00:00,2908.0
axis-axis2-java-sandesha,1,884.0,0.2335,53,227,True,False,Java,2,2006-06-15 05:51:15+00:00,2014-06-01 13:18:49+00:00,2908.0
apex-core,350,6122.0,0.2331,107,459,True,True,Java,174,2012-06-07 02:42:55+00:00,2021-04-09 14:15:23+00:00,3228.0
maven-resolver,140,1478.0,0.2331,186,798,True,True,Java,141,2011-10-26 07:35:04+00:00,2025-11-20 20:13:41+00:00,5139.0
ratis-hadoop-projects,1,1269.0,0.2326,20,86,True,True,Java,5,2016-04-04 09:34:30+00:00,2022-02-03 10:24:44+00:00,2131.0
felix-dev,154,17589.0,0.2319,929,4006,False,True,Java,152,2005-07-19 10:41:53+00:00,2025-11-19 08:13:07+00:00,7427.0
commons-ognl,83,991.0,0.2318,70,302,True,True,Java,41,2011-05-05 09:38:09+00:00,2024-01-20 15:53:42+00:00,4643.0
tomee,467,15905.0,0.2311,1442,6240,True,True,Java,690,2006-01-02 00:24:53+00:00,2025-11-21 09:57:07+00:00,7263.0
ddlutils,28,741.0,0.2301,52,226,True,False,Java,49,2002-07-31 17:00:03+00:00,2016-10-24 00:48:33+00:00,5198.0
openwebbeans-meecrowave,58,738.0,0.2292,55,240,True,True,Java,29,2016-10-18 20:44:32+00:00,2025-10-08 14:40:58+00:00,3276.0
commons-weaver,22,739.0,0.2286,24,105,True,True,Java,14,2012-11-19 03:54:31+00:00,2025-11-21 14:45:21+00:00,4750.0
maven-checkstyle-plugin,84,831.0,0.2278,18,79,True,True,Java,65,2005-07-21 02:20:27+00:00,2025-11-17 05:21:13+00:00,7424.0
hertzbeat,6825,2673.0,0.2275,273,1200,True,True,Java,1201,2021-11-10 12:07:27+00:00,2025-11-21 08:28:21+00:00,1471.0
hudi,6025,6811.0,0.227,818,3604,True,True,Java,2443,2016-12-16 22:03:59+00:00,2025-11-21 02:51:13+00:00,3261.0
ambari-metrics,54,712.0,0.2261,52,230,True,True,Java,86,2014-12-01 22:49:42+00:00,2025-05-13 00:47:25+00:00,3815.0
qpid-protonj2,17,2369.0,0.2257,249,1103,True,True,Java,13,2017-06-22 22:29:04+00:00,2025-10-13 15:24:40+00:00,3034.0
myfaces-extval,3,519.0,0.2251,140,622,True,False,Java,8,2008-07-14 17:58:09+00:00,2023-12-18 01:00:23+00:00,5634.0
axis-axis1-java,13,13229.0,0.2245,326,1452,True,True,Java,29,2001-01-19 12:02:18+00:00,2025-02-09 23:54:28+00:00,8787.0
httpcomponents-core,364,4062.0,0.2235,217,971,True,True,Java,355,2005-02-08 21:51:02+00:00,2025-11-08 18:03:28+00:00,7577.0
maven-shade-plugin,177,749.0,0.2229,35,157,True,True,Java,98,2007-07-06 16:03:52+00:00,2025-11-16 01:18:37+00:00,6707.0
