repo,stars,num_commits,test_ratio,test_files,java_files,has_build_system,has_ci_system,main_language,forks,first_commit_date,last_commit_date,project_life_days
commons-chain,79,715.0,0.2222,32,144,True,True,Java,56,2003-08-11 04:44:15+00:00,2025-06-27 10:43:33+00:00,7991.0
onami,11,744.0,0.222,117,527,True,False,Java,3,2012-11-15 10:38:01+00:00,2014-07-22 20:55:20+00:00,614.0
velocity-tools,50,1853.0,0.2214,31,140,True,False,Java,48,2002-01-03 20:11:54+00:00,2024-12-28 15:32:24+00:00,8394.0
flink-cdc,6273,1432.0,0.2212,299,1352,True,True,Java,2096,2020-07-07 11:57:09+00:00,2025-11-18 07:38:43+00:00,1959.0
dubbo,41589,8598.0,0.2202,883,4010,True,True,Java,26552,2011-10-20 15:04:29+00:00,2025-11-21 08:28:43+00:00,5145.0
wicket,774,22084.0,0.2201,726,3298,True,True,Java,393,2004-09-21 15:10:53+00:00,2025-11-16 15:57:25+00:00,7726.0
cxf,903,19097.0,0.2193,1650,7525,True,True,Java,1445,2008-04-23 17:50:00+00:00,2025-11-21 00:57:33+00:00,6420.0
datafu,120,637.0,0.2185,52,238,True,True,Java,67,2011-09-22 21:36:54+00:00,2025-05-20 11:31:53+00:00,4988.0
servicecomb-java-chassis,1938,4634.0,0.2183,567,2597,True,True,Java,829,2017-05-18 10:23:32+00:00,2025-11-14 06:37:23+00:00,3101.0
incubator-kie-drools,6165,17596.0,0.217,1956,9015,True,True,Java,2577,2005-12-05 22:42:19+00:00,2025-11-21 13:51:48+00:00,7290.0
jena,1237,12558.0,0.217,1421,6547,True,True,Java,670,2012-05-08 12:22:19+00:00,2025-11-17 11:51:56+00:00,4940.0
maven-project-info-reports-plugin,25,1105.0,0.2162,16,74,True,True,Java,42,2005-07-21 02:20:27+00:00,2025-11-18 12:45:20+00:00,7425.0
pig,687,3767.0,0.2161,387,1791,True,False,Java,448,2007-10-29 19:40:23+00:00,2025-09-15 11:23:41+00:00,6530.0
ant-ivy,72,3096.0,0.2159,144,667,True,False,Java,115,2005-06-16 11:18:39+00:00,2025-09-11 21:10:38+00:00,7392.0
lens,62,2449.0,0.2133,189,886,True,False,Java,94,2013-05-23 06:47:52+00:00,2019-11-05 06:40:42+00:00,2356.0
incubator-kie-tools,279,23585.0,0.2131,2943,13809,False,True,Java,232,2009-01-29 21:04:24+00:00,2025-11-21 14:42:54+00:00,6139.0
servicemix4-features,15,1085.0,0.2129,33,155,True,False,Java,6,2008-01-02 12:39:41+00:00,2014-03-11 08:37:54+00:00,2259.0
cxf-dosgi,27,810.0,0.2125,17,80,True,False,Java,27,2009-01-12 15:55:34+00:00,2022-11-18 11:54:11+00:00,5057.0
archiva,331,8785.0,0.2124,216,1017,True,True,Java,121,2005-11-23 23:54:12+00:00,2023-03-20 06:00:55+00:00,6325.0
servicecomb-saga-actuator,477,518.0,0.2121,42,198,True,True,Java,41,2017-07-18 08:27:38+00:00,2023-02-07 02:17:44+00:00,2029.0
commons-jci,15,1060.0,0.2121,14,66,True,True,Java,18,2005-01-03 23:54:18+00:00,2025-11-21 14:41:56+00:00,7626.0
rocketmq-clients,445,1270.0,0.2113,41,194,False,True,Java,270,2021-03-26 15:31:02+00:00,2025-11-07 02:08:09+00:00,1686.0
flink-connector-hive,9,782.0,0.2112,68,322,True,True,Java,22,2022-11-23 22:02:40+00:00,2025-02-18 10:14:30+00:00,817.0
curator,3163,2879.0,0.2105,149,708,True,True,Java,1253,2011-07-14 19:59:21+00:00,2025-08-27 17:57:49+00:00,5157.0
incubator-retired-edgent,218,1398.0,0.2088,76,364,True,True,Java,135,2016-02-01 23:31:23+00:00,2019-04-01 22:34:20+00:00,1154.0
nutch,3090,3542.0,0.2085,108,518,True,True,Java,1260,2005-01-23 01:28:09+00:00,2025-11-10 15:07:44+00:00,7596.0
mina-sshd,1029,3115.0,0.2083,292,1402,True,True,Java,385,2008-12-04 16:24:17+00:00,2025-10-27 17:30:47+00:00,6171.0
continuum,7,4870.0,0.2082,148,711,True,False,Java,10,2005-04-11 03:04:49+00:00,2016-06-10 11:14:55+00:00,4078.0
tsfile,164,1386.0,0.2074,162,781,True,True,Java,84,2018-11-19 03:31:03+00:00,2025-11-20 02:01:00+00:00,2557.0
openwebbeans,69,4244.0,0.2073,324,1563,True,True,Java,63,2008-11-22 17:29:01+00:00,2025-05-14 09:51:07+00:00,6016.0
iotdb,6235,13203.0,0.2073,1488,7177,True,True,Java,1096,2017-05-07 06:50:07+00:00,2025-11-21 06:45:14+00:00,3119.0
openjpa,146,5393.0,0.2051,975,4753,True,True,Java,149,2006-05-02 01:50:04+00:00,2022-11-18 22:42:52+00:00,6044.0
camel-examples,461,2779.0,0.2035,58,285,True,True,Java,380,2007-05-17 15:37:54+00:00,2025-11-05 14:01:31+00:00,6746.0
flink-statefun,527,823.0,0.2028,103,508,True,True,Java,186,2019-12-03 13:27:26+00:00,2023-09-12 09:11:38+00:00,1378.0
opennlp-sandbox,44,814.0,0.2018,110,545,True,True,Java,34,2011-02-23 19:47:14+00:00,2025-11-21 11:49:22+00:00,5384.0
tomcat80,119,15944.0,0.2,458,2290,True,False,Java,117,2006-03-27 13:53:46+00:00,2018-08-12 11:26:15+00:00,4520.0
tez,506,3062.0,0.1993,230,1154,True,True,Java,441,2013-03-15 21:49:28+00:00,2025-11-12 09:08:01+00:00,4624.0
freemarker,1063,2557.0,0.1987,178,896,True,True,Java,271,2010-03-14 20:26:24+00:00,2025-11-13 17:27:34+00:00,5722.0
nifi,5836,11275.0,0.197,1623,8238,True,True,Java,2896,2014-12-08 20:22:14+00:00,2025-11-21 15:44:18+00:00,4000.0
chukwa,84,854.0,0.1966,92,468,True,False,Java,40,2008-08-12 22:35:16+00:00,2019-03-31 22:34:41+00:00,3882.0
incubator-kie-kogito-runtimes,587,20935.0,0.1961,750,3824,True,True,Java,248,2005-12-05 22:42:19+00:00,2025-11-21 14:34:56+00:00,7290.0
jackrabbit-filevault,51,1196.0,0.1956,133,680,True,True,Java,73,2013-08-10 05:32:51+00:00,2025-11-20 09:45:47+00:00,4485.0
hop,1273,8626.0,0.1945,839,4313,True,True,Java,415,2019-09-24 10:48:13+00:00,2025-11-20 07:12:01+00:00,2248.0
drill,1998,4566.0,0.1942,895,4609,True,True,Java,987,2012-09-03 20:21:32+00:00,2025-11-06 14:29:22+00:00,4811.0
tapestry4,7,3793.0,0.194,343,1768,True,False,Java,12,2000-07-24 14:38:00+00:00,2024-12-08 15:51:21+00:00,8903.0
maven-war-plugin,43,813.0,0.1935,12,62,True,True,Java,96,2005-03-03 09:04:36+00:00,2025-11-17 19:56:03+00:00,7564.0
eagle,410,1050.0,0.1934,347,1794,True,True,Java,179,2015-10-16 21:59:49+00:00,2019-10-08 06:05:57+00:00,1452.0
uima-ruta,18,2619.0,0.1924,244,1268,True,True,Java,5,2011-08-01 12:13:46+00:00,2025-10-22 11:29:10+00:00,5195.0
incubator-baremaps,553,1541.0,0.1908,95,498,True,True,Java,71,2019-01-08 19:54:55+00:00,2025-09-23 08:18:31+00:00,2449.0
commons-digester,56,2938.0,0.1908,58,304,True,True,Java,45,2001-05-03 00:28:33+00:00,2025-11-21 14:40:47+00:00,8968.0
amoro,1071,1751.0,0.1906,267,1401,True,True,Java,362,2022-07-19 02:58:42+00:00,2025-11-21 08:25:58+00:00,1221.0
cayenne,335,7444.0,0.1897,740,3901,True,True,Java,139,2007-01-21 11:11:02+00:00,2025-11-11 12:23:21+00:00,6869.0
commons-graph,36,908.0,0.1897,33,174,True,True,Java,12,2011-06-11 12:36:51+00:00,2025-11-21 14:23:44+00:00,5277.0
hive,5894,17944.0,0.1889,1565,8286,True,True,Java,4782,2008-09-02 23:58:59+00:00,2025-11-21 07:27:44+00:00,6288.0
plc4x-extras,15,548.0,0.1888,27,143,True,True,Java,17,2024-04-04 19:35:16+00:00,2025-11-21 09:37:23+00:00,595.0
dolphinscheduler,13960,8779.0,0.1875,488,2603,True,True,Java,4942,2019-03-01 16:39:25+00:00,2025-11-21 09:54:32+00:00,2456.0
usergrid,994,10954.0,0.186,390,2097,False,True,Java,422,2011-09-28 07:39:53+00:00,2020-12-17 11:34:45+00:00,3368.0
servicemix4-nmr,4,678.0,0.1842,56,304,True,False,Java,4,2007-12-13 11:58:49+00:00,2013-12-10 18:56:27+00:00,2189.0
dubbo-spi-extensions,201,630.0,0.1841,174,945,True,True,Java,120,2020-05-18 03:22:29+00:00,2025-11-19 13:13:17+00:00,2011.0
ace,27,1603.0,0.1837,97,528,True,False,Java,23,2009-05-08 13:25:26+00:00,2017-07-25 11:58:04+00:00,2999.0
derby,368,8269.0,0.1835,524,2855,True,False,Java,141,2004-08-11 21:07:37+00:00,2019-08-18 23:21:51+00:00,5485.0
turbine-core,9,2175.0,0.183,71,388,True,False,Java,6,2001-08-16 05:06:53+00:00,2025-09-17 13:29:41+00:00,8798.0
shiro,4409,4340.0,0.1825,144,789,True,True,Java,2315,2005-07-14 15:10:24+00:00,2025-11-19 10:33:57+00:00,7432.0
maven-artifact,8,610.0,0.1807,30,166,True,False,Java,7,2004-08-09 18:37:31+00:00,2009-02-21 09:40:28+00:00,1656.0
seatunnel,8903,5188.0,0.1796,727,4047,True,True,Java,2103,2017-08-05 14:30:14+00:00,2025-11-21 08:30:45+00:00,3029.0
sling-whiteboard,45,1886.0,0.1793,90,502,True,True,Java,30,2017-11-03 14:06:50+00:00,2025-08-28 16:29:22+00:00,2855.0
jspwiki,110,9595.0,0.1785,138,773,True,True,Java,103,2007-10-06 05:00:16+00:00,2025-11-16 19:59:52+00:00,6616.0
gora,121,1422.0,0.1775,85,479,True,True,Java,130,2010-10-08 21:17:10+00:00,2024-01-11 11:37:00+00:00,4842.0
tuscany-sca-2.x,24,16253.0,0.1774,720,4058,True,False,Java,16,2005-12-18 02:57:58+00:00,2013-09-10 16:50:53+00:00,2823.0
bval,45,1418.0,0.1772,56,316,True,True,Java,29,2010-03-12 20:07:45+00:00,2025-03-17 09:46:50+00:00,5483.0
oodt,65,2251.0,0.1772,230,1298,True,False,Java,60,2010-05-03 01:15:31+00:00,2022-01-07 06:11:46+00:00,4267.0
wookie,6,1921.0,0.1763,52,295,True,False,Java,5,2007-10-14 10:58:41+00:00,2014-11-24 10:11:41+00:00,2597.0
incubator-hugegraph,2836,2065.0,0.1755,306,1744,True,True,Java,567,2017-06-27 02:22:10+00:00,2025-11-16 08:07:01+00:00,3064.0
joshua,110,4256.0,0.1751,52,297,True,True,Java,63,2008-07-28 18:12:12+00:00,2020-09-04 12:55:41+00:00,4420.0
maven-archetype,144,1431.0,0.1726,29,168,True,True,Java,174,2005-11-03 03:53:51+00:00,2025-11-18 04:59:09+00:00,7320.0
incubator-heron,3652,3308.0,0.172,233,1355,True,True,Java,589,2015-12-19 20:19:41+00:00,2023-03-01 15:11:03+00:00,2628.0
maven-mercury,2,769.0,0.1714,54,315,True,False,Java,6,2008-05-23 22:59:23+00:00,2010-05-04 20:04:55+00:00,710.0
logging-log4j1,867,3237.0,0.1713,62,362,True,False,Java,578,2000-11-16 19:56:51+00:00,2022-01-17 22:09:06+00:00,7732.0
cxf-fediz,24,2371.0,0.1708,69,404,True,True,Java,34,2011-12-21 21:53:59+00:00,2025-11-18 16:54:13+00:00,5080.0
